Date,SPY,QQQ,EFA,EEM,TLT,IEF,GLD,SLV,DBC,USO,UUP,FXE,FXY,BTC-USD,ETH-USD
2005-08-08,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-09,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-10,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-11,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-12,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-15,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-16,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-17,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-18,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-19,0.487908946374346,0.42442120895835117,0.487908946374346,0.33244020817386943,0.487908946374346,0.487908946374346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
